Retours cumulés par épisode pour l'agent TD(0)
==================================================

Paramètres:
  - Taille de la grille: 6x6
  - Nombre d'épisodes: 300
  - Taux d'apprentissage: 0.01
  - Facteur de discount: 0.99

Récompenses par épisode:
  Épisode 1: -1.0700
  Épisode 2: -1.1400
  Épisode 3: -1.3900
  Épisode 4: -1.1400
  Épisode 5: -1.0200
  Épisode 6: -1.1500
  Épisode 7: -1.0200
  Épisode 8: -1.1100
  Épisode 9: -1.0300
  Épisode 10: -1.1200
  Épisode 11: -1.1000
  Épisode 12: -1.1300
  Épisode 13: -1.2200
  Épisode 14: -1.0600
  Épisode 15: -1.0100
  Épisode 16: -1.1100
  Épisode 17: -1.1300
  Épisode 18: -1.2000
  Épisode 19: -1.2700
  Épisode 20: -1.0300
  Épisode 21: -1.1500
  Épisode 22: -1.2400
  Épisode 23: -1.2400
  Épisode 24: -1.1300
  Épisode 25: -1.0100
  Épisode 26: -1.3300
  Épisode 27: -1.4000
  Épisode 28: -1.2700
  Épisode 29: -1.0200
  Épisode 30: -1.0100
  Épisode 31: -1.2300
  Épisode 32: -1.1100
  Épisode 33: 0.2800
  Épisode 34: -1.0200
  Épisode 35: -1.0200
  Épisode 36: -1.0500
  Épisode 37: -1.0100
  Épisode 38: -1.0300
  Épisode 39: -1.1000
  Épisode 40: -1.2100
  Épisode 41: -1.0300
  Épisode 42: -1.0300
  Épisode 43: -1.1400
  Épisode 44: -1.2400
  Épisode 45: -1.0200
  Épisode 46: -1.2000
  Épisode 47: -1.1200
  Épisode 48: -1.1700
  Épisode 49: -1.0500
  Épisode 50: -1.0200
  Épisode 51: -1.0100
  Épisode 52: -1.0600
  Épisode 53: -1.1900
  Épisode 54: -1.0900
  Épisode 55: -1.2000
  Épisode 56: -1.2600
  Épisode 57: -1.2300
  Épisode 58: -1.0600
  Épisode 59: -1.0100
  Épisode 60: -1.3000
  Épisode 61: -1.0900
  Épisode 62: -1.3800
  Épisode 63: -1.2000
  Épisode 64: -1.2400
  Épisode 65: -1.0600
  Épisode 66: -1.2700
  Épisode 67: -1.0700
  Épisode 68: -1.1800
  Épisode 69: -1.0100
  Épisode 70: -1.1200
  Épisode 71: -1.1200
  Épisode 72: -1.0500
  Épisode 73: -1.1400
  Épisode 74: -1.0500
  Épisode 75: -1.1600
  Épisode 76: -1.0100
  Épisode 77: -1.0800
  Épisode 78: -1.1700
  Épisode 79: -1.1700
  Épisode 80: -1.3100
  Épisode 81: -1.1500
  Épisode 82: -1.0100
  Épisode 83: -1.2400
  Épisode 84: -1.1900
  Épisode 85: -1.7600
  Épisode 86: -1.0200
  Épisode 87: -1.6700
  Épisode 88: -1.4600
  Épisode 89: -1.0200
  Épisode 90: -1.1200
  Épisode 91: -1.0700
  Épisode 92: -1.0900
  Épisode 93: -1.1000
  Épisode 94: -1.0600
  Épisode 95: -1.1900
  Épisode 96: -1.0800
  Épisode 97: -1.0700
  Épisode 98: -1.2000
  Épisode 99: -1.0100
  Épisode 100: -1.0200
  Épisode 101: -1.1000
  Épisode 102: -1.1000
  Épisode 103: -1.1100
  Épisode 104: -1.2700
  Épisode 105: -1.1700
  Épisode 106: -1.1500
  Épisode 107: -1.1500
  Épisode 108: -1.0600
  Épisode 109: -1.4000
  Épisode 110: -1.2900
  Épisode 111: -1.0100
  Épisode 112: -1.1900
  Épisode 113: -1.4200
  Épisode 114: -1.0900
  Épisode 115: -1.1400
  Épisode 116: -1.1800
  Épisode 117: -1.1400
  Épisode 118: -1.2500
  Épisode 119: -1.5400
  Épisode 120: -1.0100
  Épisode 121: -1.9400
  Épisode 122: -1.0700
  Épisode 123: -1.2200
  Épisode 124: -1.2600
  Épisode 125: -1.0500
  Épisode 126: -1.4400
  Épisode 127: -1.0400
  Épisode 128: -1.1300
  Épisode 129: -1.3900
  Épisode 130: -1.4100
